time4sub,time11sub,solution?,n,blocked/n^2,time4,time11,Satisfiable?,correct winner
0.0615157998,0.2201357047,0,70,0.2120029926,2.8936283588,queen4,UnSAT,0.9328571429
0.0614911909,0.2201240711,0,70,0.1301498413,2.4787783623,queen4,UnSAT,0.9330612245
0.0614661541,0.2201470875,0,70,0.1571290493,2.4291853905,queen4,UnSAT,0.9332653061
0.0614443424,0.220181672,0,70,0.1391034126,2.4775311947,queen4,UnSAT,0.9334693878
0.0614219207,0.2202034967,0,70,0.1547114849,2.5211689472,queen4,UnSAT,0.9336734694
0.0613916503,0.2202049079,0,70,0.1629374027,2.4316737652,queen4,UnSAT,0.933877551
0.0613712139,0.2202470697,0,70,0.2403006554,2.4205319881,queen4,UnSAT,0.9340816327
0.0613459459,0.2202651158,0,70,0.145029068,2.5306282043,queen4,UnSAT,0.9342857143
0.0613203721,0.2202781104,0,70,0.1553308964,2.5269887447,queen4,UnSAT,0.9344897959
0.0612978881,0.2202879003,0,70,0.1423985958,2.391933918,queen4,UnSAT,0.9346938776
0.061292352,0.2203475689,0,70,0.1202459335,2.4048380852,queen4,UnSAT,0.9348979592
0.0612752407,0.2203829073,0,70,0.185461998,2.4419267178,queen4,UnSAT,0.9351020408
0.0612510615,0.2204105,0,70,0.2342660427,2.4394462109,queen4,UnSAT,0.9353061224
0.0612261171,0.2204092242,0,70,0.1576616764,2.4843254089,queen4,UnSAT,0.9355102041
0.0611993568,0.2204069093,0,70,0.2068715096,2.8100390434,queen4,UnSAT,0.9357142857
0.0611739998,0.220403842,0,70,0.133919239,2.5684549809,queen4,UnSAT,0.9359183673
0.0611516289,0.2204224767,0,70,0.1713514328,2.6341397762,queen4,UnSAT,0.936122449
0.0611280567,0.2204148901,0,70,0.152456522,2.5228288174,queen4,UnSAT,0.9363265306
0.0611037394,0.2204074911,0,70,0.2011625767,2.5426626205,queen4,UnSAT,0.9365306122
0.0610767324,0.2204090334,0,70,0.1475932598,2.5961983204,queen4,UnSAT,0.9367346939
0.0610551193,0.2204337234,0,70,0.1560220718,2.567640543,queen4,UnSAT,0.9369387755
0.0610294385,0.2204303289,0,70,0.1466057301,2.4086027145,queen4,UnSAT,0.9371428571
0.0610037682,0.220434122,0,70,0.1523454189,2.6931684017,queen4,UnSAT,0.9373469388
0.0609805119,0.2204451682,0,70,0.1719169617,2.4566206932,queen4,UnSAT,0.9375510204
0.0609629154,0.2204683942,0,70,0.2100393772,2.4558172226,queen4,UnSAT,0.937755102
0.060938143,0.220483616,0,70,0.1457242966,2.5392651558,queen4,UnSAT,0.9379591837
0.060918572,0.2204994927,0,70,0.2636084557,2.4979174137,queen4,UnSAT,0.9381632653
0.0608940305,0.2205171328,0,70,0.1481404305,2.4221003056,queen4,UnSAT,0.9383673469
0.0608760161,0.2205227081,0,70,0.2172205448,2.6778149605,queen4,UnSAT,0.9385714286
0.0608555027,0.2205255981,0,70,0.2057356834,2.3904855251,queen4,UnSAT,0.9387755102
0.0608334067,0.2205488785,0,70,0.1608161926,2.5778090954,queen4,UnSAT,0.9389795918
0.0608106283,0.2205594165,0,70,0.1378939152,2.5404343605,queen4,UnSAT,0.9391836735
0.0607887747,0.2205686242,0,70,0.2322313786,2.5160653591,queen4,UnSAT,0.9393877551
0.0607629982,0.2205671272,0,70,0.1475162506,2.4304716587,queen4,UnSAT,0.9395918367
0.06075067,0.2206245938,0,70,0.158370018,2.4673645496,queen4,UnSAT,0.9397959184
0.060724672,0.2206105362,0,70,0.1625123024,2.5253500938,queen4,UnSAT,0.94
0.0607061487,0.2206220388,0,70,0.2345597744,2.5025649071,queen4,UnSAT,0.9402040816
0.0606887677,0.2206512849,0,70,0.1408603191,2.4038834572,queen4,UnSAT,0.9404081633
0.0606740951,0.2207131493,0,70,0.148444891,2.3433663845,queen4,UnSAT,0.9406122449
0.060652247,0.2207547993,0,70,0.1441528797,2.3788628578,queen4,UnSAT,0.9408163265
0.0606290092,0.2207477584,0,70,0.1763737202,2.5856125355,queen4,UnSAT,0.9410204082
0.0606026038,0.2207531634,0,70,0.2241966724,2.6309111118,queen4,UnSAT,0.9412244898
0.0605821619,0.2207543327,0,70,0.1892831326,2.4275186062,queen4,UnSAT,0.9414285714
0.0605621135,0.2207638078,0,70,0.2003428936,2.4190993309,queen4,UnSAT,0.9416326531
0.0605450947,0.2207952432,0,70,0.1541657448,2.4592239857,queen4,UnSAT,0.9418367347
0.0605254926,0.2208410647,0,70,0.1228172779,2.3471620083,queen4,UnSAT,0.9420408163
0.0605161554,0.2208578481,0,70,0.228468895,2.3760273457,queen4,UnSAT,0.942244898
0.0604933743,0.2208723617,0,70,0.1736505032,2.4331009388,queen4,UnSAT,0.9424489796
0.0604708604,0.2208905396,0,70,0.2147066593,2.5847408772,queen4,UnSAT,0.9426530612
0.0604480723,0.2208804322,0,70,0.1563372612,2.4422307014,queen4,UnSAT,0.9428571429
0.0604236818,0.2208845555,0,70,0.1577951908,2.8292315006,queen4,UnSAT,0.9430612245
0.060399018,0.2208699971,0,70,0.1510119438,2.4867901802,queen4,UnSAT,0.9432653061
0.0603784315,0.2208881906,0,70,0.2358326912,2.4363746643,queen4,UnSAT,0.9434693878
0.060356811,0.2209125632,0,70,0.1326701641,2.4284255505,queen4,UnSAT,0.9436734694
0.0603367142,0.2209348127,0,70,0.2354140282,2.6008701324,queen4,UnSAT,0.943877551
0.0603147992,0.2209195515,0,70,0.1332798004,2.4029078484,queen4,UnSAT,0.9440816327
0.060287827,0.2209214629,0,70,0.1503221989,2.8302268982,queen4,UnSAT,0.9442857143
0.060267054,0.2209071959,0,70,0.1655216217,2.5112886429,queen4,UnSAT,0.9444897959
0.0602479536,0.2209211273,0,70,0.1943192482,2.5880486965,queen4,UnSAT,0.9446938776
0.0602284294,0.2209298134,0,70,0.166223526,2.4212348461,queen4,UnSAT,0.9448979592
0.0602105141,0.2209806751,0,70,0.2154340744,2.3576335907,queen4,UnSAT,0.9451020408
0.0601878536,0.2209935128,0,70,0.1579213142,2.4124598503,queen4,UnSAT,0.9453061224
0.0601685855,0.2210113438,0,70,0.2327091694,2.5113272667,queen4,UnSAT,0.9455102041
0.0601469908,0.2210256295,0,70,0.1304414272,2.5231592655,queen4,UnSAT,0.9457142857
0.060129372,0.2210291718,0,70,0.1553122997,2.539077282,queen4,UnSAT,0.9459183673
0.0601066272,0.2210237075,0,70,0.1470060349,2.5567736626,queen4,UnSAT,0.946122449
0.0600901467,0.221046334,0,70,0.2273976803,2.4467201233,queen4,UnSAT,0.9463265306
0.0600703822,0.2210568232,0,70,0.1511580944,2.4185700417,queen4,UnSAT,0.9465306122
0.0600530872,0.2210697104,0,70,0.2245063782,2.6523888111,queen4,UnSAT,0.9467346939
0.060031909,0.2210544829,0,70,0.1364939213,2.4545788765,queen4,UnSAT,0.9469387755
0.0600112083,0.2210670958,0,70,0.1600091457,2.4447164536,queen4,UnSAT,0.9471428571
0.0599969968,0.2211058299,0,70,0.1170182228,2.3797280788,queen4,UnSAT,0.9473469388
0.0599777329,0.2211168078,0,70,0.2230932713,2.4466331005,queen4,UnSAT,0.9475510204
0.0599546772,0.2211355621,0,70,0.1657466888,2.4598402977,queen4,UnSAT,0.947755102
0.059935589,0.2211643262,0,70,0.1514003277,2.678668499,queen4,UnSAT,0.9479591837
0.0599165738,0.2211477382,0,70,0.1481485367,2.4653398991,queen4,UnSAT,0.9481632653
0.059900552,0.2211640912,0,70,0.2044351101,2.5749409199,queen4,UnSAT,0.9483673469
0.0598823757,0.2211861254,0,70,0.1764028072,2.4080774784,queen4,UnSAT,0.9485714286
0.0598641702,0.2212254332,0,70,0.2315385342,2.5032052994,queen4,UnSAT,0.9487755102
0.059843176,0.2212440574,0,70,0.142539978,2.4754214287,queen4,UnSAT,0.9489795918
0.0598228422,0.2212411409,0,70,0.202252388,2.5657610893,queen4,UnSAT,0.9491836735
0.0598039773,0.2212565648,0,70,0.1701700687,2.5466902256,queen4,UnSAT,0.9493877551
0.0597783527,0.2212581423,0,70,0.2047049999,2.5453679562,queen4,UnSAT,0.9495918367
0.0597605929,0.2212684106,0,70,0.1723222733,2.4209301472,queen4,UnSAT,0.9497959184
0.0597424139,0.2213335159,0,70,0.1250002384,2.3535954952,queen4,UnSAT,0.95
0.0597217845,0.2213498165,0,70,0.127171278,2.5451917648,queen4,UnSAT,0.9502040816
0.0597012737,0.2213479102,0,70,0.1770095825,2.5162217617,queen4,UnSAT,0.9504081633
0.0596856114,0.2213506189,0,70,0.1442930698,2.4667651653,queen4,UnSAT,0.9506122449
0.0596679945,0.2213712184,0,70,0.2454068661,2.4420676231,queen4,UnSAT,0.9508163265
0.0596452036,0.2213680841,0,70,0.161744833,2.4161908627,queen4,UnSAT,0.9510204082
0.0596324915,0.2214036093,0,70,0.1714713573,2.4357936382,queen4,UnSAT,0.9512244898
0.0596114713,0.2214015661,0,70,0.2055559158,2.4388997555,queen4,UnSAT,0.9514285714
0.0595902963,0.2214230853,0,70,0.1847298145,2.4942500591,queen4,UnSAT,0.9516326531
0.0595728706,0.2214719181,0,70,0.1279382706,2.3582818508,queen4,UnSAT,0.9518367347
0.0595529423,0.2214994599,0,70,0.2110702991,2.5522964001,queen4,UnSAT,0.9520408163
0.0595313093,0.2214943782,0,70,0.1909184456,2.4225156307,queen4,UnSAT,0.952244898
0.0595140303,0.2215379997,0,70,0.181848526,2.4202818871,queen4,UnSAT,0.9524489796
0.0594959525,0.2215686456,0,70,0.1702871323,2.4123721123,queen4,UnSAT,0.9526530612
0.0594771942,0.2215840155,0,70,0.2349114418,2.4417767525,queen4,UnSAT,0.9528571429
0.0594550622,0.2215915855,0,70,0.1414237022,2.382278204,queen4,UnSAT,0.9530612245
0.0594424375,0.2216333985,0,70,0.1874587536,2.4565324783,queen4,UnSAT,0.9532653061
0.0594240812,0.2216505162,0,70,0.1388070583,2.3992304802,queen4,UnSAT,0.9534693878
0.0594056943,0.2216641099,0,70,0.2309286594,2.4647381306,queen4,UnSAT,0.9536734694
0.0593880349,0.2216757095,0,70,0.1679821014,2.4341220856,queen4,UnSAT,0.953877551
0.0593758995,0.2217031489,0,70,0.225508213,2.4792644978,queen4,UnSAT,0.9540816327
0.0593543547,0.2217009905,0,70,0.1522049904,2.3938171864,queen4,UnSAT,0.9542857143
0.0593392238,0.2217367699,0,70,0.2344412804,2.3848426342,queen4,UnSAT,0.9544897959
0.0593176535,0.2217566199,0,70,0.1297707558,2.5140726566,queen4,UnSAT,0.9546938776
0.0592971733,0.2217549818,0,70,0.1536893845,2.7557845116,queen4,UnSAT,0.9548979592
0.0592771358,0.2217498105,0,70,0.2261095047,2.512172699,queen4,UnSAT,0.9551020408
0.059254602,0.2217387267,0,70,0.1529836655,2.6372089386,queen4,UnSAT,0.9553061224
0.0592347147,0.221746906,0,70,0.1996326447,2.3988389969,queen4,UnSAT,0.9555102041
0.0592246525,0.2217699192,0,70,0.2253308296,2.4937341213,queen4,UnSAT,0.9557142857
0.0592037227,0.2217900094,0,70,0.1618783474,2.3876326084,queen4,UnSAT,0.9559183673
0.059184652,0.2217854283,0,70,0.146999836,2.6249353886,queen4,UnSAT,0.956122449
0.059165202,0.2218039751,0,70,0.1422536373,2.5257444382,queen4,UnSAT,0.9563265306
0.0591632823,0.2218372023,0,70,0.1925032139,2.3839564323,queen4,UnSAT,0.9565306122
0.0591469106,0.2218420881,0,70,0.211728096,2.3425419331,queen4,UnSAT,0.9567346939
0.0591267062,0.2218395353,0,70,0.1728241444,2.7145600319,queen4,UnSAT,0.9569387755
0.0591085832,0.2218310072,0,70,0.1711502075,2.4227097034,queen4,UnSAT,0.9571428571
0.0590921331,0.2218618506,0,70,0.2316565514,2.5294947624,queen4,UnSAT,0.9573469388
0.0590726062,0.2218677814,0,70,0.1711268425,2.5145456791,queen4,UnSAT,0.9575510204
0.0590534864,0.2218939983,0,70,0.2459933758,2.4499206543,queen4,UnSAT,0.957755102
0.0590354783,0.2219021535,0,70,0.13844347,2.4269680977,queen4,UnSAT,0.9579591837
0.059018857,0.2219077572,0,70,0.2022414207,2.7522308826,queen4,UnSAT,0.9581632653
0.0590000086,0.2219278598,0,70,0.186852932,2.3431317806,queen4,UnSAT,0.9583673469
0.0589831466,0.2219528378,0,70,0.2215220928,2.3850667477,queen4,UnSAT,0.9585714286
0.0589659303,0.2219621136,0,70,0.1348307133,2.3863902092,queen4,UnSAT,0.9587755102
0.0589483999,0.2219709937,0,70,0.2327377796,2.6241848469,queen4,UnSAT,0.9589795918
0.0589305496,0.2219749247,0,70,0.1785848141,2.370247364,queen4,UnSAT,0.9591836735
0.0589097957,0.2219894465,0,70,0.1803863049,2.7657899857,queen4,UnSAT,0.9593877551
0.0588904408,0.2219720911,0,70,0.1255991459,2.4279177189,queen4,UnSAT,0.9595918367
0.0588683295,0.2219701064,0,70,0.1795320511,2.7628872395,queen4,UnSAT,0.9597959184
0.058845667,0.2219592794,0,70,0.1492791176,2.5031473637,queen4,UnSAT,0.96
0.0588309507,0.2219617436,0,70,0.2510285378,2.7356159687,queen4,UnSAT,0.9602040816
0.0588099913,0.2219436837,0,70,0.1302206516,2.4911649227,queen4,UnSAT,0.9604081633
0.0587907467,0.2219562783,0,70,0.1582388878,2.5326838493,queen4,UnSAT,0.9606122449
0.0587736363,0.2219747979,0,70,0.1759724617,2.4706923962,queen4,UnSAT,0.9608163265
0.0587566306,0.2219946104,0,70,0.1661372185,2.4781002998,queen4,UnSAT,0.9610204082
0.0587395164,0.2220029154,0,70,0.1731801033,2.5675225258,queen4,UnSAT,0.9612244898
0.0587201278,0.2219936257,0,70,0.1748030186,2.8561799526,queen4,UnSAT,0.9614285714
0.0587018521,0.2219794202,0,70,0.1422276497,2.4898784161,queen4,UnSAT,0.9616326531
0.0586860804,0.2220129128,0,70,0.2214033604,2.4723017216,queen4,UnSAT,0.9618367347
0.0586667718,0.2220231839,0,70,0.1702840328,2.4339723587,queen4,UnSAT,0.9620408163
0.0586476811,0.2220482459,0,70,0.1605298519,2.6528651714,queen4,UnSAT,0.962244898
0.0586436238,0.2220475207,0,70,0.1662447453,2.321546793,queen4,UnSAT,0.9624489796
0.0586223754,0.2220480431,0,70,0.1781835556,2.7242233753,queen4,UnSAT,0.9626530612
0.0586027696,0.2220584515,0,70,0.1771090031,2.4112224579,queen4,UnSAT,0.9628571429
0.0585893502,0.2220628355,0,70,0.2358293533,2.4871797562,queen4,UnSAT,0.9630612245
0.0585738807,0.2220792027,0,70,0.1664459705,2.4231677055,queen4,UnSAT,0.9632653061
0.0585608744,0.2221325788,0,70,0.1741366386,2.4663772583,queen4,UnSAT,0.9634693878
0.0585384673,0.2221215648,0,70,0.2274215221,2.4079618454,queen4,UnSAT,0.9636734694
0.0585267309,0.222136338,0,70,0.2284355164,2.4328658581,queen4,UnSAT,0.963877551
0.0585127931,0.2221449269,0,70,0.1500601768,2.4865841866,queen4,UnSAT,0.9640816327
0.0584955801,0.2221566059,0,70,0.1775763035,2.4330999851,queen4,UnSAT,0.9642857143
0.0584828843,0.2221699697,0,70,0.1806373596,2.3685441017,queen4,UnSAT,0.9644897959
0.0584688052,0.2221843167,0,70,0.2516517639,2.6227891445,queen4,UnSAT,0.9646938776
0.0584497828,0.2221870327,0,70,0.1692388058,2.4229874611,queen4,UnSAT,0.9648979592
0.0584376325,0.2222103647,0,70,0.232657671,2.3746824265,queen4,UnSAT,0.9651020408
0.0584223583,0.222233788,0,70,0.1571886539,2.4189703465,queen4,UnSAT,0.9653061224
0.0584034356,0.2222363261,0,70,0.2353200912,2.5877130032,queen4,UnSAT,0.9655102041
0.058386672,0.2222445493,0,70,0.1542766094,2.4389789104,queen4,UnSAT,0.9657142857
0.0583752939,0.2223026471,0,70,0.1345243454,2.3025231361,queen4,UnSAT,0.9659183673
0.0583601144,0.2223155079,0,70,0.1493308544,2.4299654961,queen4,UnSAT,0.966122449
0.058345124,0.2223400662,0,70,0.2441058159,2.492171526,queen4,UnSAT,0.9663265306
0.0583285256,0.2223354454,0,70,0.1596324444,2.4004499912,queen4,UnSAT,0.9665306122
0.0583129202,0.2223602877,0,70,0.1595096588,2.4454166889,queen4,UnSAT,0.9667346939
0.058299279,0.2224025536,0,70,0.1281058788,2.3244292736,queen4,UnSAT,0.9669387755
0.0582845765,0.2224276309,0,70,0.2346115112,2.4932293892,queen4,UnSAT,0.9671428571
0.0582690517,0.2224314046,0,70,0.1420857906,2.423582077,queen4,UnSAT,0.9673469388
0.0582503559,0.222438064,0,70,0.1512670517,2.8587930202,queen4,UnSAT,0.9675510204
0.0582298834,0.2224212762,0,70,0.1528794765,2.566378355,queen4,UnSAT,0.967755102
0.0582154965,0.2224295402,0,70,0.2352490425,2.5301730633,queen4,UnSAT,0.9679591837
0.0581995324,0.2224392881,0,70,0.1515934467,2.3912541866,queen4,UnSAT,0.9681632653
0.0581874205,0.2224931286,0,70,0.130243063,2.4297530651,queen4,UnSAT,0.9683673469
0.0581678119,0.2224773729,0,70,0.1520965099,2.5060606003,queen4,UnSAT,0.9685714286
0.0581484153,0.2224671448,0,70,0.1455070972,2.8550810814,queen4,UnSAT,0.9687755102
0.0581285992,0.222450765,0,70,0.1424124241,2.4547667503,queen4,UnSAT,0.9689795918
0.0581113456,0.2224525316,0,70,0.2107689381,2.5171937943,queen4,UnSAT,0.9691836735
0.0580957279,0.222471965,0,70,0.1430513859,2.5454080105,queen4,UnSAT,0.9693877551
0.0580809373,0.2224765968,0,70,0.1913175583,2.5421745777,queen4,UnSAT,0.9695918367
0.0580623023,0.222495802,0,70,0.1884899139,2.3455414772,queen4,UnSAT,0.9697959184
0.0580458296,0.2225144253,0,70,0.2346971035,2.6133363247,queen4,UnSAT,0.97
0.0580309007,0.2224968648,0,70,0.1307039261,2.5016772747,queen4,UnSAT,0.9702040816
0.0580159596,0.2225140743,0,70,0.2323596478,2.4933178425,queen4,UnSAT,0.9704081633
0.0580037011,0.2225201073,0,70,0.170886755,2.4709639549,queen4,UnSAT,0.9706122449
0.0579908099,0.222566426,0,70,0.1668429375,2.3492262363,queen4,UnSAT,0.9708163265
0.0579767943,0.2225996965,0,70,0.1624150276,2.3749272823,queen4,UnSAT,0.9710204082
0.0579603588,0.2225966706,0,70,0.2140729427,2.6211209297,queen4,UnSAT,0.9712244898
0.0579451951,0.2225961132,0,70,0.1500432491,2.4331383705,queen4,UnSAT,0.9714285714
0.0579339815,0.2226336288,0,70,0.1612796783,2.4596221447,queen4,UnSAT,0.9716326531
0.0579131502,0.2226333407,0,70,0.1569344997,2.4043896198,queen4,UnSAT,0.9718367347
0.057894488,0.2226556443,0,70,0.1521062851,2.594217062,queen4,UnSAT,0.9720408163
0.0578746335,0.2226459132,0,70,0.1994533539,2.4542012215,queen4,UnSAT,0.972244898
0.0578536482,0.222645107,0,70,0.2238714695,2.868915081,queen4,UnSAT,0.9724489796
0.057834991,0.2226314629,0,70,0.1494069099,2.4830572605,queen4,UnSAT,0.9726530612
0.0578171703,0.2226425075,0,70,0.236386776,2.5086507797,queen4,UnSAT,0.9728571429
0.0578039446,0.2226536994,0,70,0.1413486004,2.4372220039,queen4,UnSAT,0.9730612245
0.0577977748,0.222701888,0,70,0.1673018932,2.353212595,queen4,UnSAT,0.9732653061
0.0577838256,0.2227083034,0,70,0.1493446827,2.4936394691,queen4,UnSAT,0.9734693878
0.0577684225,0.222717986,0,70,0.1937139034,2.5055756569,queen4,UnSAT,0.9736734694
0.0577555463,0.2227167272,0,70,0.2159600258,2.3772547245,queen4,UnSAT,0.973877551
0.0577447187,0.2227544919,0,70,0.1500554085,2.5745899677,queen4,UnSAT,0.9740816327
0.057727622,0.2227598503,0,70,0.1668496132,2.4507889748,queen4,UnSAT,0.9742857143
0.0577127793,0.2227624351,0,70,0.2725224495,2.5036942959,queen4,UnSAT,0.9744897959
0.0576948116,0.222763681,0,70,0.140078783,2.549854517,queen4,UnSAT,0.9746938776
0.0576809336,0.2227688748,0,70,0.2297687531,2.5500087738,queen4,UnSAT,0.9748979592
0.0576639073,0.2227748398,0,70,0.1472327709,2.3683998585,queen4,UnSAT,0.9751020408
0.0576494862,0.2228150851,0,70,0.1397008896,3.0575168133,queen4,UnSAT,0.9753061224
0.05762846,0.2227944267,0,70,0.2097034454,2.566391468,queen4,UnSAT,0.9755102041
0.0576104027,0.2227809269,0,70,0.1576993465,2.6108021736,queen4,UnSAT,0.9757142857
0.0575940186,0.2227938901,0,70,0.1485180855,2.4201989174,queen4,UnSAT,0.9759183673
0.0575843362,0.2228157308,0,70,0.1864295006,2.4854750633,queen4,UnSAT,0.976122449
0.0575658009,0.2228147579,0,70,0.1580278873,2.3763985634,queen4,UnSAT,0.9763265306
0.0575498133,0.2228285859,0,70,0.2162013054,2.6944932938,queen4,UnSAT,0.9765306122
0.0575341545,0.2228574093,0,70,0.1191227436,2.3975272179,queen4,UnSAT,0.9767346939
0.0575218592,0.2228663594,0,70,0.2275030613,2.4615335464,queen4,UnSAT,0.9769387755
0.0575033169,0.2228870051,0,70,0.1770226955,2.3665225506,queen4,UnSAT,0.9771428571
0.057486053,0.2228965401,0,70,0.1795983315,2.8317131996,queen4,UnSAT,0.9773469388
0.0574701895,0.2228894989,0,70,0.1363928318,2.4818120003,queen4,UnSAT,0.9775510204
0.0574577171,0.2229060421,0,70,0.2378294468,2.4490604401,queen4,UnSAT,0.977755102
0.0574428112,0.2229200623,0,70,0.1607453823,2.4666223526,queen4,UnSAT,0.9779591837
0.0574282351,0.2229271096,0,70,0.2034907341,2.8272109032,queen4,UnSAT,0.9781632653
0.0574098333,0.2229069532,0,70,0.1505753994,2.5419785976,queen4,UnSAT,0.9783673469
0.0573943299,0.2228977799,0,70,0.2025589943,2.6857919693,queen4,UnSAT,0.9785714286
0.0573844581,0.2229195587,0,70,0.1417667866,2.423525095,queen4,UnSAT,0.9787755102
0.0573725968,0.2229592277,0,70,0.1672801971,2.4010722637,queen4,UnSAT,0.9789795918
0.0573616076,0.2230012741,0,70,0.119566679,2.345713377,queen4,UnSAT,0.9791836735
0.0573590484,0.2230398939,0,70,0.1751298904,2.4312345982,queen4,UnSAT,0.9793877551
0.0573395163,0.2230316345,0,70,0.1522459984,2.425491333,queen4,UnSAT,0.9795918367
0.0573296418,0.2230534146,0,70,0.2419223785,2.365031004,queen4,UnSAT,0.9797959184
0.0573119949,0.2230586902,0,70,0.1831772327,2.6371657848,queen4,UnSAT,0.98
0.0572945629,0.2230571514,0,70,0.1978209019,2.6455919743,queen4,UnSAT,0.9802040816
0.0572775839,0.2230653779,0,70,0.1580612659,2.4342691898,queen4,UnSAT,0.9804081633
0.0572677865,0.2231097997,0,70,0.1775968075,2.4250710011,queen4,UnSAT,0.9806122449
0.0572539708,0.2231111791,0,70,0.1522352695,2.4757027626,queen4,UnSAT,0.9808163265
0.0572381381,0.2231206884,0,70,0.2260019779,2.5362510681,queen4,UnSAT,0.9810204082
0.0572202733,0.223128986,0,70,0.1653895378,2.4677278996,queen4,UnSAT,0.9812244898
0.0572124984,0.2231789073,0,70,0.1240656376,2.3007552624,queen4,UnSAT,0.9814285714
0.0571964521,0.2231908751,0,70,0.1267750263,2.5143961906,queen4,UnSAT,0.9816326531
0.0571824636,0.2232023719,0,70,0.2303452492,2.5003120899,queen4,UnSAT,0.9818367347
0.0571669802,0.2232237247,0,70,0.1776075363,2.4427456856,queen4,UnSAT,0.9820408163
0.0571553043,0.2232393354,0,70,0.2151675224,2.5819854736,queen4,UnSAT,0.982244898
0.0571418422,0.2232510567,0,70,0.1692194939,2.5668570995,queen4,UnSAT,0.9824489796
0.0571265016,0.2232415528,0,70,0.1899940968,2.5656685829,queen4,UnSAT,0.9826530612
0.0571096608,0.2232514851,0,70,0.1435012817,2.4074709415,queen4,UnSAT,0.9828571429
0.0570949197,0.223265063,0,70,0.1632692814,2.5738954544,queen4,UnSAT,0.9830612245
0.0570780247,0.2232737331,0,70,0.1757669449,2.3935797215,queen4,UnSAT,0.9832653061
0.0570657086,0.2232945791,0,70,0.229612112,2.5110454559,queen4,UnSAT,0.9834693878
0.0570507019,0.2232901355,0,70,0.1434175968,2.6151525974,queen4,UnSAT,0.9836734694
0.0570402623,0.2233002986,0,70,0.2318029404,2.4462513924,queen4,UnSAT,0.983877551
0.0570246594,0.2233070568,0,70,0.1585350037,2.4305996895,queen4,UnSAT,0.9840816327
